Player,N,Team,Total AV,Position,School,College Gms,Yrs at College,Missed Gm in COL,Avg Pos Rk,Rd Drafted,Pos # Dr.,Org AllPro at Pos,Avg rk contract,First Start,Team Playoffs?,Arms,Hands,Bench Press,40 (Official),Vertical,Broad,3 Cone,20 Yard Shuttle
Jared Goff,1,LAR,52,QB,1,37,0,,1,1,0,4,6.984,2,11,32.75,9,,4.82,27,110,7.17,
Carson Wentz,2,PHI,48,QB,3,43,2,,2,1,1,0,6.669,1,2,33.25,10,,4.77,30.5,118,6.86,
Joey Bosa,3,SD,45,DE,1,40,0,,1,1,0,2,6.468,2,2,33.38,10.25,24,4.86,32,120,6.89,4.21
Ezekiel Elliott,4,DAL,58,RB,1,38,0,,1,1,0,7,6.239,1,1,31.25,10.25,,4.47,32.5,108,,
Jalen Ramsey,5,JAX,60,CB,1,41,0,,1,1,0,1,5.838,1,8,33.38,9.5,14,4.41,41.5,135,6.94,4.18
Ronnie Stanley,6,BAL,41,T,1,41,1,,2,1,0,4,5.121,1,1,35.63,10.63,,5.2,28.5,,8.03,4.9
DeForest Buckner,7,SF,55,DE,1,53,1,,2,1,1,4,4.548,1,2,34.38,11.75,,5.05,32,116,7.51,4.47
Jack Conklin,8,TEN,49,T,1,39,0,,4,1,1,3,3.974,1,7,35,10.38,25,5,30,103,7.63,4.57
Leonard Floyd,9,CHI,38,LB,1,38,0,,4,1,0,17,3.946,1,5,33.13,10.13,,4.6,39.5,127,,
Eli Apple,10,NYG,18,CB,1,27,0,,4,1,1,2,3.788,2,4,31.38,9.38,13,4.4,,,7,4.08
Vernon Hargreaves III,11,TB,19,CB,1,37,0,,2,1,2,3,3.544,1,10,30.63,8.75,15,4.5,39,130,,3.98
Sheldon Rankins,12,NO,18,DT,1,45,1,,1,1,0,1,3.2,3,2,33.38,9.38,28,5.03,34.5,118,7.44,4.59
Larmey Tunsil,13,MIA,37,T,1,29,0,,1,1,2,3,3.114,1,7,34.25,10,34,,28.5,111,,
Karl Joseph,14,OAK,20,S,1,42,1,,1,1,0,4,2.971,2,13,32.13,9.75,19,,,,,
Corey Coleman,15,CLE,6,WR,1,35,1,,3,1,0,2,2.801,1,13,30.25,9,17,4.39,40.5,129,,
Taylor Decker,16,DET,32,T,1,53,1,,3,1,3,1,2.742,1,1,33.75,10,20,5.23,29,101,7.7,4.76
Keanu Neal,17,ATL,19,S,1,34,0,,3,1,1,0,2.684,2,3,32.75,10.63,17,4.62,38,132,7.09,4.38
Ryan Kelly,18,IND,41,C,1,46,2,,1,1,0,2,2.613,1,1,33.63,9.63,26,5.03,30,103,7.58,4.59
Shaq Lawson,19,BUF,18,DE,1,41,0,,3,1,2,10,2.57,2,16,32.75,10,,4.7,33,120,7.16,4.21
Darron Lee,20,NYJ,20,LB,1,29,0,,2,1,1,1,2.555,2,5,33.25,9.75,17,4.47,35.5,133,7.12,4.2
Will Fuller,21,HOU,26,WR,1,38,0,,6,1,1,3,2.541,1,0,30.75,8.25,10,4.32,33.5,126,6.93,4.27
Josh Doctson,22,WSH,9,WR,1,48,1,,2,1,2,3,2.512,4,0,31.88,9.88,14,4.5,41,131,6.84,4.08
Laquon Treadwell,23,MIN,6,WR,1,35,0,,1,1,3,6,2.484,2,0,33.38,9.5,12,4.63,33,117,7.05,4.29
William Jackson III,24,CIN,17,CB,2,39,0,,3,1,3,3,2.426,4,0,31.75,9.25,10,4.37,,116,6.86,4.32
Artie Burns,25,PIT,15,CB,1,39,0,,6,1,4,8,2.398,2,0,33.25,9.5,7,4.46,31.5,124,6.96,4.33
Paxton Lynch,26,DEN,2,QB,2,37,0,,3,1,2,2,2.369,2,0,34.25,10.25,,4.86,36,118,7.14,
Kenny Clark,27,GB,36,DT,1,39,0,,8,1,1,0,2.34,2,0,32.13,10.5,29,5.06,28.5,102,,4.62
Joshua Garnett,28,SF,5,G,1,55,1,,1,1,0,2,2.326,2,2,33.38,9.88,30,5.32,29,99,7.62,4.64
Robert Nkemdiche,29,ARZ,5,DT,1,35,0,,6,1,2,0,2.15,4,0,33.88,10.75,28,4.87,35,116,,
Vernon Butler,30,CAR,8,DT,2,49,1,,4,1,3,2,2.099,4,0,35.13,10.75,26,5.33,29.5,104,7.82,4.76
Germain Ifedi,31,SEA,38,T,1,37,1,,5,1,4,4,2.066,2,0,36,10.75,24,5.27,32.5,109,,4.75
Emmanuel Ogbah,32,CLE,30,DE,1,39,1,,6,2,3,2,1.652,1,13,35.5,10,20,4.63,35.5,121,7.26,4.5
Kevin Dodd,33,TEN,2,DE,1,39,1,,5,2,4,2,1.638,2,7,34,10,,4.86,30.5,110,7.18,4.44
Jaylon Smith,34,DAL,35,LB,1,39,0,,5,2,2,10,1.624,3,1,33,9.5,,,,,,
Hunter Henry,35,SD,19,TE,1,38,0,,1,2,0,6,1.595,2,2,32.75,9.25,13,4.68,31.5,113,7.16,4.41
Myles Jack,36,JAX,38,LB,1,29,0,,1,2,3,1,1.584,2,8,33.63,10.25,19,,40,124,,
Chris Jones,37,KC,47,DT,1,39,0,,6,2,4,4,1.558,2,0,34.5,10.75,26,5.03,24.5,106,7.44,4.62
Xavien Howard,38,MIA,42,CB,1,39,1,,7,2,5,3,1.532,1,7,31.25,9.13,11,4.58,33,122,7.18,4.15
Noah Spence,39,TB,5,DE,3,26,0,,3,2,5,2,1.509,2,10,33,10.75,25,4.8,35,121,7.21,4.35
Sterling Shepard,40,NYG,27,WR,1,50,1,,5,2,4,0,1.486,1,4,30.38,9.75,20,4.48,41,123,7,4.35
Reggie Ragland,41,BUF,18,LB,1,53,1,,3,2,4,4,1.46,4,16,32,9.88,,4.72,31.5,116,,4.28
Kamalei Correa,42,BAL,10,DE,2,40,0,,9,2,6,1,1.437,2,1,31.63,9.38,21,4.69,33,108,,
Austin Johnson,43,TEN,12,DT,1,35,0,,11,2,5,4,1.416,4,7,32.75,9.88,25,5.32,26,99,7.84,4.75
Jihad Ward,44,OAK,11,DE,1,32,4,,8,2,7,3,1.385,1,13,33.88,9.38,20,5.11,25,111,7.38,4.63
Derrick Henry,45,TEN,47,RB,1,41,0,,2,2,1,5,1.352,1,7,33,8.75,22,4.54,37,130,7.2,4.38
A'Shawn Robinson,46,DET,20,DT,1,42,0,,2,2,6,5,1.308,2,1,34.5,10.5,22,5.2,26,106,7.8,4.74
Michael Thomas,47,NO,61,WR,1,38,1,,4,2,5,1,1.28,2,2,32.13,10.5,18,4.57,35,126,6.8,4.13
Jason Spriggs,48,GB,9,T,1,48,1,,6,2,5,2,1.251,2,0,34.13,10.13,31,4.94,31.5,115,7.7,4.44
Jarran Reed,49,SEA,31,DT,1,50,4,,3,2,7,4,1.222,2,0,33.38,10.5,,5.21,31,104,7.77,4.75
Nick Martin,50,HOU,30,C,1,50,2,,2,2,1,0,1.194,3,0,32.5,10,28,5.22,28,97,7.57,4.72
Christian Hackenberg,51,NYJ,0,QB,1,35,0,,5,2,3,1,1.165,5,5,32,9,,4.78,31,114,7.04,
Deion Jones,52,ATL,38,LB,1,51,1,,9,2,5,1,1.136,1,3,32.38,9.25,16,4.59,33,120,7.13,4.26
Su'a Cravens,53,WSH,5,LB,1,40,0,,6,2,6,5,1.108,2,0,32.13,9.5,16,4.69,27,114,6.92,4.41
Mackensie Alexander,54,MIN,11,CB,1,27,0,,5,2,6,2,1.079,4,0,31.38,9.13,11,4.47,37.5,121,7.18,4.21
Tyler Boyd,55,CIN,30,WR,1,38,0,,7,2,6,2,1.076,2,0,32,9.75,11,4.58,34,119,6.9,4.35
Cody Whitehair,56,CHI,34,G,1,52,2,,2,2,1,0,1.056,1,5,32.38,10.13,16,5.08,25.5,110,7.32,4.58
T.J. Green,57,IND,5,S,1,38,0,,5,2,2,3,1.042,1,1,32,9.63,13,4.34,35.5,129,7.1,4.41
Sean Davis,58,PIT,19,S,1,50,1,,8,2,3,8,1.022,1,0,31.38,9.5,21,4.46,37.5,126,6.64,3.97
Roberto Aguayo,59,TB,0,K,1,41,1,,1,2,0,0,1.013,1,10,31.75,9.88,,,,,,
Cyrus Jones,60,NE,4,CB,1,51,1,,12,2,7,4,1.002,2,0,31.38,9.13,19,4.49,33,116,6.71,4.21
Vonn Bell,61,NO,23,S,1,41,0,,2,2,4,1,0.993,2,2,32.38,9.5,16,4.53,30.5,,,
James Bradberry,62,CAR,32,CB,3,36,1,,18,2,8,1,0.99,1,0,33.38,9.13,16,4.5,36,124,6.91,4.21
Adam Gotsis,63,DEN,17,DT,1,42,1,,18,2,8,1,0.984,4,0,34.13,10.75,,,,,,
Kevin Byard,64,TEN,37,S,2,49,2,,12,3,5,2,0.909,2,7,33.5,9.88,,4.46,38,108,6.73,4.15
Carl Nassib,65,CLE,20,DE,1,32,0,,11,3,8,2,0.9,1,13,34.5,10.38,21,4.84,28.5,114,7.27,4.37
Max Tuerk,66,SD,0,C,1,45,1,,3,3,2,0,0.894,5,2,32.5,10.75,22,,,,,
Maliek Collins,67,DAL,27,DT,1,38,0,,10,3,9,12,0.888,2,1,33.13,9.5,25,5.03,29.5,109,7.53,4.52
Will Redmond,68,SF,2,CB,1,27,1,,10,3,9,8,0.885,4,2,30.38,9.13,,,,,,
Yannick Ngakoue,69,JAX,41,DE,1,38,0,,13,3,9,0,0.87,2,8,32.5,9.5,26,4.75,34.5,118,7.35,4.5
Bronson Kaufusi,70,BAL,2,DE,2,49,1,,10,3,10,1,0.864,2,1,34.5,9.75,25,4.87,30,111,7.03,4.25
Darian Thompson,71,NYG,13,S,2,51,2,,4,3,6,0,0.864,2,4,30.38,9.13,12,4.69,32.5,118,7.26,4.33
Jonathan Bullard,72,CHI,9,DT,1,50,1,,9,3,10,4,0.853,2,5,33.63,10,23,4.93,32,116,7.31,4.56
Kenyan Drake,73,MIA,29,RB,1,42,1,,9,3,2,5,0.845,2,7,31.75,9.75,10,4.45,34.5,123,7.04,4.21
KeiVarae Russell,74,KC,2,CB,1,37,1,,9,3,10,4,0.841,4,0,31.63,10,17,4.49,38.5,134,6.84,4
Shilique Calhoun,75,OAK,5,DE,1,54,2,,7,3,11,3,0.825,4,13,34.25,9.88,23,4.82,35,115,6.97,4.25
Shon Coleman,76,CLE,6,T,1,33,1,,8,3,6,7,0.82,3,13,35.13,10.63,22,,,,,
Daryl Worley,77,CAR,19,CB,1,34,0,,21,3,11,1,0.809,2,0,33.38,10.25,14,4.64,35.5,123,6.98,4.15
Joe Thuney,78,NE,44,G,1,42,2,,7,3,2,8,0.803,1,0,32.25,9.63,28,4.95,28.5,110,7.47,4.54
Isaac Seumalo,79,PHI,18,G,1,37,1,,5,3,3,2,0.8,2,2,33,9.88,,5.19,26,105,7.4,4.52
Adolphus Washington,80,BUF,9,DT,1,48,1,,14,3,11,2,0.797,1,16,34.5,9.88,21,5.17,27,99,8.06,4.79
Austin Hooper,81,ATL,24,TE,1,27,0,,3,3,1,1,0.803,2,3,33.75,10.63,19,4.72,33,117,7,4.32
Le'Raven Clark,82,IND,12,T,1,51,2,,7,3,7,2,0.786,2,1,36.13,11.88,18,5.16,30,109,,
Jordan Jenkins,83,NYJ,31,LB,1,52,1,,7,3,7,1,0.781,2,5,34.25,11.25,16,4.8,36.5,121,7.39,4.32
Kendall Fuller,84,WSH,21,CB,1,29,0,,8,3,12,4,0.781,2,0,31.5,10,15,,,,,
Braxton Miller,85,HOU,2,WR,1,49,2,,8,3,7,3,0.779,1,0,31.75,9.13,17,4.5,35,123,6.65,4.07
Leonte Carroo,86,MIA,2,WR,1,42,1,,9,3,8,3,0.775,1,7,31.38,9.63,14,4.5,35.5,120,,
Nick Vigil,87,CIN,22,LB,2,40,1,,19,3,8,0,0.778,3,0,32.38,10.25,15,4.72,31.5,115,6.73,4
Kyler Fackrell,88,GB,16,LB,2,41,2,,11,3,9,6,0.784,4,0,33.25,10.13,15,4.72,34.5,121,,
Javon Hargrave,89,PIT,34,DT,3,34,0,,12,3,12,4,0.779,2,0,32,9.63,29,4.93,34.5,109,7.9,4.7
C.J. Prosise,90,SEA,5,RB,1,37,1,,12,3,3,3,0.778,2,0,32.13,8.5,14,4.48,35.5,121,7.19,4.42
Jacoby Brissett,91,NE,23,QB,1,39,2,,11,3,4,2,0.853,2,0,32.25,9.75,,4.94,31,113,7.17,
Brandon Williams,92,ARZ,4,CB,1,46,1,,32,3,13,9,0.771,1,0,32.5,8.63,18,4.37,30.5,118,6.85,4.19
Cody Kessler,93,CLE,5,QB,1,51,2,,14,3,5,1,0.847,2,13,32.63,10.88,,4.89,29.5,104,7.32,
Nick Vannett,94,SEA,6,TE,1,50,2,,2,3,2,0,0.764,2,0,34.25,10,17,4.89,30.5,111,7.05,4.2
Graham Glasgow,95,DET,32,C,1,41,2,,6,3,3,0,0.759,2,1,33.13,9.75,23,5.13,25,160,7.63,4.63
Vincent Valentine,96,NE,2,DT,1,35,1,,22,3,13,1,0.758,2,0,33.13,9.63,17,5.19,29,110,8.03,4.59
Rees Odhiambo,97,SEA,4,G,2,32,2,,9,3,4,2,0.757,3,0,33.25,9.63,23,,27,93,8.02,4.64
Justin Simmons,98,DEN,39,S,1,50,1,,9,3,7,0,0.767,2,0,32.63,9.63,16,4.61,40,126,6.58,3.85
Joe Schobert,99,CLE,37,LB,1,45,1,,10,4,10,2,0.743,2,13,31.5,9.75,22,4.76,33.5,111,7.11,4.3
Connor Cook,100,OAK,0,QB,1,43,2,,4,4,6,5,0.74,5,13,33,9.75,,4.79,33,113,7.21,
Charles Tapper,101,DAL,0,DE,1,44,1,,23,4,12,5,0.739,5,1,34.38,11.5,23,4.59,34,119,,
Joshua Perry,102,SD,1,LB,1,48,1,,8,4,11,7,0.739,2,2,33.88,10.25,20,4.68,33.5,124,7.21,4.35
Sheldon Day,103,JAX,6,DT,1,48,1,,13,4,14,0,0.737,4,8,32.63,9.63,21,5.07,30,102,7.44,4.5
Tavon Young,104,BAL,11,CB,2,47,1,,23,4,14,1,0.736,2,1,30.63,9.13,9,4.46,34.5,118,6.8,3.93
Parker Ehinger,105,KC,4,G,2,51,1,,13,4,5,7,0.743,1,0,33,9.88,,5.26,27.5,97,,
Eric Murray,106,KC,14,CB,1,51,1,,11,4,15,4,0.742,4,0,31.5,9,15,4.49,39.5,124,7.08,4.05
Chris Moore,107,BAL,4,WR,2,50,2,,29,4,9,2,0.734,4,1,33.38,9.38,10,4.53,37,130,6.76,4.2
Ryan Smith,108,TB,8,CB,3,34,0,,33,4,16,3,0.733,4,10,30.5,8.88,18,4.47,36,122,6.88,4.09
B.J. Goodson,109,NYG,23,LB,1,47,2,,29,4,12,11,0.731,3,4,33.25,10,30,4.69,34.5,118,7.05,4.51
Tyler Higbee,110,LAR,17,TE,2,37,2,,5,4,3,0,0.73,2,11,33.25,10.25,18,,,,,
Miles Killebrew,111,DET,5,S,3,37,0,,11,4,8,0,0.73,4,1,32.13,9.5,22,4.65,38,127,6.93,4.18
Malcolm Mitchell,112,NE,4,WR,1,47,2,,12,4,10,3,0.729,1,0,32.63,10.5,15,4.45,36,129,6.94,4.34
Nick Kwiatkoski,113,CHI,22,LB,1,48,2,,16,4,13,17,0.729,2,5,31.75,9.5,19,4.73,32,120,7.16,4.22
Ricardo Louis,114,CLE,3,WR,1,50,1,,47,4,11,2,0.727,2,13,32.38,9.5,18,4.43,38,132,7.07,4.32
De'Vondre Campbell,115,ATL,32,LB,1,39,0,,35,4,14,1,0.726,1,3,33.63,9.63,16,4.58,34,116,7.07,4.5
Hassan Ridgeway,116,IND,9,DT,1,36,1,,16,4,15,1,0.725,2,1,33,9.38,24,5.02,32,113,8.28,4.82
Pharoh Cooper,117,LAR,6,WR,1,36,0,,10,4,12,5,0.724,2,11,32.25,9.13,15,,31,115,,
Juston Burris,118,NYJ,13,CB,1,51,2,,29,4,17,3,0.723,2,5,31.5,8.88,19,4.53,36.5,122,7.1,4.4
Tyler Ervin,119,HOU,1,RB,2,47,2,,17,4,4,2,0.722,5,0,29.75,9.13,17,4.41,39,130,,
David Onyemata,120,NO,24,DT,4,29,1,,27,4,16,1,0.721,4,2,33.25,10.38,,5.07,33,119,7.25,4.69
Willie Beavers,121,MIN,0,T,2,46,2,,14,4,8,9,0.719,5,0,33.5,9.5,20,5.28,25.5,103,7.96,4.71
Andrew Billings,122,CIN,16,DT,1,36,0,,4,4,17,4,0.719,4,0,33,10,31,5.05,27.5,113,8.05,4.82
Jerald Hawkins,123,PIT,2,T,1,38,1,,11,4,9,0,0.718,4,0,34.25,9.63,23,5.23,23.5,100,8.19,4.89
Deon Bush,124,CHI,6,S,1,46,1,,18,4,9,2,0.717,2,5,30.88,9.25,17,4.64,36,123,6.91,
Antonio Morrison,125,IND,13,LB,1,47,1,,14,4,15,1,0.715,2,1,30.38,9,23,5.1,30,111,7.69,4.6
Demarcus Robinson,126,KC,14,WR,1,32,0,,22,4,13,4,0.714,4,0,33,9.5,9,4.59,34.5,123,6.77,4.19
Deiondre' Hall,127,CHI,2,CB,3,40,0,,17,4,18,1,0.713,5,5,34.38,9.75,,4.68,37,,7.07,4.06
Evan Boehm,128,ARZ,13,C,1,52,1,,4,4,4,3,0.712,2,0,31.63,10.25,24,5.33,28.5,96,7.52,4.69
Derrick Kindred,129,CLE,8,S,1,50,1,,19,4,10,1,0.71,2,13,31.25,9.38,17,4.5,37.5,123,7.05,4.29
Alex Lewis,130,BAL,15,T,1,50,1,,10,4,10,4,0.708,1,1,34,10,27,5.22,29.5,100,7.94,4.72
Blake Martinez,131,GB,41,LB,1,51,1,,15,4,16,6,0.681,1,0,31.63,10.88,22,4.71,28.5,113,6.98,4.2
Willie Henry,132,BAL,4,DT,1,35,1,,17,4,18,2,0.681,4,1,33.38,10.88,28,5,30.5,110,7.57,4.53
Rashard Robinson,133,SF,8,CB,1,20,0,,14,4,19,8,0.681,2,2,32.25,9,5,4.49,35.5,121,7.29,4.5
Kenneth Dixon,134,BAL,5,RB,2,47,1,,3,4,5,4,0.681,5,1,31.38,9.5,18,4.58,37.5,121,6.97,4.28
Dak Prescott,135,DAL,63,QB,1,49,2,,6,4,7,0,0.681,1,1,32.25,10.88,,4.79,32.5,116,7.11,
Devontae Booker,136,DEN,16,RB,1,34,4,,4,4,6,5,0.681,2,0,31.63,8.63,22,,,,,
Dean Lowry,137,GB,29,DE,1,49,1,,23,4,13,4,0.681,3,0,31,9.38,30,4.87,32.5,114,7.26,4.38
Seth Devalve,138,CLE,6,TE,3,19,0,,25,4,4,1,0.681,2,13,32.5,10,22,4.68,40,125,6.96,4.18
Cardale Jones,139,BUF,0,QB,1,22,1,,7,4,8,1,0.681,5,16,33.75,9.75,,4.81,36,,,
Tajae Sharpe,140,TEN,11,WR,2,47,1,,13,5,14,3,0.654,1,7,32.25,8.38,11,4.55,33.5,114,,
Zack Sanchez,141,CAR,1,CB,1,37,1,,13,5,20,1,0.653,2,0,31.38,9.38,19,4.5,35.5,116,7.12,4.51
Ronald Blair,142,SF,6,DE,2,28,0,,11,5,14,4,0.653,4,2,34,10.25,32,5.15,30,113,7.95,4.53
