Player,Team,Position,Total AV,School,College Gms,Yrs at College,Avg Pos Rk,Rd Drafted,Pos # Dr.,Org AllPro at Pos,Avg rk contract,First Start,Team Playoffs?,Arms,Hands,Bench Press,40 (Official),Vertical,Broad,3 Cone,20 Yard Shuttle
Dak Prescott,DAL,QB,63,1,49,2,6,4,7,0,0.681,1,1,32.25,10.88,,4.79,32.5,116,7.11,
Tyreek Hill,KC,WR,62,4,33,4,65,5,17,4,0.647,2,0,30.50,8.00,13,4.29,40.5,129,6.53,4.06
Michael Thomas,NO,WR,61,1,38,1,4,2,5,1,1.280,2,2,32.13,10.50,18,4.57,35,126,6.8,4.13
Jalen Ramsey,JAX,CB,60,1,41,0,1,1,0,1,5.838,1,8,33.38,9.50,14,4.41,41.5,135,6.94,4.18
Ezekiel Elliott,DAL,RB,58,1,38,0,1,1,0,7,6.239,1,1,31.25,10.25,,4.47,32.5,108,,
DeForest Buckner,SF,DE,55,1,53,1,2,1,1,4,4.548,1,2,34.38,11.75,,5.05,32,116,7.51,4.47
Jared Goff,LAR,QB,52,1,37,0,1,1,0,4,6.984,2,11,32.75,9.00,,4.82,27,110,7.17,
Jack Conklin,TEN,T,49,1,39,0,4,1,1,3,3.974,1,7,35.00,10.38,25,5,30,103,7.63,4.57
Carson Wentz,PHI,QB,48,3,43,2,2,1,1,0,6.669,1,2,33.25,10.00,,4.77,30.5,118,6.86,
Chris Jones,KC,DT,47,1,39,0,6,2,4,4,1.558,2,0,34.50,10.75,26,5.03,24.5,106,7.44,4.62
Derrick Henry,TEN,RB,47,1,41,0,2,2,1,5,1.352,1,7,33.00,8.75,22,4.54,37,130,7.2,4.38
Joey Bosa,SD,DE,45,1,40,0,1,1,0,2,6.468,2,2,33.38,10.25,24,4.86,32,120,6.89,4.21
Joe Thuney,NE,G,44,1,42,2,7,3,2,8,0.803,1,0,32.25,9.63,28,4.95,28.5,110,7.47,4.54
Xavien Howard,MIA,CB,42,1,39,1,7,2,5,3,1.532,1,7,31.25,9.13,11,4.58,33,122,7.18,4.15
Ronnie Stanley,BAL,T,41,1,41,1,2,1,0,4,5.121,1,1,35.63,10.63,,5.2,28.5,,8.03,4.9
Ryan Kelly,IND,C,41,1,46,2,1,1,0,2,2.613,1,1,33.63,9.63,26,5.03,30,103,7.58,4.59
Yannick Ngakoue,JAX,DE,41,1,38,0,13,3,9,0,0.870,2,8,32.50,9.50,26,4.75,34.5,118,7.35,4.5
Blake Martinez,GB,LB,41,1,51,1,15,4,16,6,5.000,1,0,31.63,10.88,22,4.71,28.5,113,6.98,4.2
Justin Simmons,DEN,S,39,1,50,1,9,3,7,0,0.767,2,0,32.63,9.63,16,4.61,40,126,6.58,3.85
Leonard Floyd,CHI,LB,38,1,38,0,4,1,0,17,3.946,1,5,33.13,10.13,,4.6,39.5,127,,
Germain Ifedi,SEA,T,38,1,37,1,5,1,4,4,2.066,2,0,36.00,10.75,24,5.27,32.5,109,,4.75
Myles Jack,JAX,LB,38,1,29,0,1,2,3,1,1.584,2,8,33.63,10.25,19,,40,124,,
Deion Jones,ATL,LB,38,1,51,1,9,2,5,1,1.136,1,3,32.38,9.25,16,4.59,33,120,7.13,4.26
Matt Judon,BAL,DE,38,4,42,2,14,5,15,1,0.649,3,1,33.88,9.50,30,4.73,35,109,7.67,4.52
Larmey Tunsil,MIA,T,37,1,29,0,1,1,2,3,3.114,1,7,34.25,10.00,34,,28.5,111,,
Kevin Byard,TEN,S,37,2,49,2,12,3,5,2,0.909,2,7,33.50,9.88,,4.46,38,108,6.73,4.15
Joe Schobert,CLE,LB,37,1,45,1,10,4,10,2,0.743,2,13,31.50,9.75,22,4.76,33.5,111,7.11,4.3
Kenny Clark,GB,DT,36,1,39,0,8,1,1,0,2.340,2,0,32.13,10.50,29,5.06,28.5,102,,4.62
Jaylon Smith,DAL,LB,35,1,39,0,5,2,2,10,1.624,3,1,33.00,9.50,,,,,,
Cody Whitehair,CHI,G,34,1,52,2,2,2,1,0,1.056,1,5,32.38,10.13,16,5.08,25.5,110,7.32,4.58
Javon Hargrave,PIT,DT,34,3,34,0,12,3,12,4,0.779,2,0,32.00,9.63,29,4.93,34.5,109,7.9,4.7
Taylor Decker,DET,T,32,1,53,1,3,1,3,1,2.742,1,1,33.75,10.00,20,5.23,29,101,7.7,4.76
James Bradberry,CAR,CB,32,3,36,1,18,2,8,1,0.990,1,0,33.38,9.13,16,4.5,36,124,6.91,4.21
Graham Glasgow,DET,C,32,1,41,2,6,3,3,0,0.759,2,1,33.13,9.75,23,5.13,25,160,7.63,4.63
De'Vondre Campbell,ATL,LB,32,1,39,0,35,4,14,1,0.726,1,3,33.63,9.63,16,4.58,34,116,7.07,4.5
Robby Anderson,NYJ,WR,32,2,30,1,54,8,31,2,0.543,2,5,30.00,8.63,8,4.36,36.5,128,7.07,4.27
Jarran Reed,SEA,DT,31,1,50,4,3,2,7,4,1.222,2,0,33.38,10.50,,5.21,31,104,7.77,4.75
Jordan Jenkins,NYJ,LB,31,1,52,1,7,3,7,1,0.781,2,5,34.25,11.25,16,4.8,36.5,121,7.39,4.32
Emmanuel Ogbah,CLE,DE,30,1,39,1,6,2,3,2,1.652,1,13,35.50,10.00,20,4.63,35.5,121,7.26,4.5
Nick Martin,HOU,C,30,1,50,2,2,2,1,0,1.194,3,0,32.50,10.00,28,5.22,28,97,7.57,4.72
Tyler Boyd,CIN,WR,30,1,38,0,7,2,6,2,1.076,2,0,32.00,9.75,11,4.58,34,119,6.9,4.35
Elandon Roberts,NE,LB,30,2,34,0,37,6,25,6,0.610,2,0,30.63,9.38,,4.6,36,120,7.2,4.26
Kenyan Drake,MIA,RB,29,1,42,1,9,3,2,5,0.845,2,7,31.75,9.75,10,4.45,34.5,123,7.04,4.21
Dean Lowry,GB,DE,29,1,49,1,23,4,13,4,0.681,3,0,31.00,9.38,30,4.87,32.5,114,7.26,4.38
Austin Blythe,IND,C,29,1,50,2,8,7,6,2,0.600,2,1,30.25,9.38,29,5.36,27.5,99,7.52,4.53
Matt Skura,BAL,C,28,1,50,2,8,8,7,0,0.543,3,1,35.25,10.00,27,5.39,24,103,7.89,4.76
Sterling Shepard,NYG,WR,27,1,50,1,5,2,4,0,1.486,1,4,30.38,9.75,20,4.48,41,123,7,4.35
Maliek Collins,DAL,DT,27,1,38,0,10,3,9,12,0.888,2,1,33.13,9.50,25,5.03,29.5,109,7.53,4.52
Cory Littleton,LAR,LB,27,1,49,1,41,8,34,3,0.545,2,11,33.38,10.13,,4.73,29.5,114,7.11,4.32
Will Fuller,HOU,WR,26,1,38,0,6,1,1,3,2.541,1,0,30.75,8.25,10,4.32,33.5,126,6.93,4.27
Jordan Howard,CHI,RB,26,1,32,0,5,5,9,9,0.647,2,5,32.25,9.00,16,4.59,34,122,7.14,4.34
Wes Schweitzer,ATL,G,25,2,44,2,30,6,10,3,0.618,3,3,32.63,10.50,,5.15,27.5,108,7.8,4.73
Austin Hooper,ATL,TE,24,1,27,0,3,3,1,1,0.803,2,3,33.75,10.63,19,4.72,33,117,7,4.32
David Onyemata,NO,DT,24,4,29,1,27,4,16,1,0.721,4,2,33.25,10.38,,5.07,33,119,7.25,4.69
D.J. Reader,HOU,DT,24,1,47,1,18,5,21,0,0.639,2,0,33.63,9.50,30,5.33,29.5,99,7.9,4.71
Vonn Bell,NO,S,23,1,41,0,2,2,4,1,0.993,2,2,32.38,9.50,16,4.53,30.5,,,
Jacoby Brissett,NE,QB,23,1,39,2,11,3,4,2,0.853,2,0,32.25,9.75,,4.94,31,113,7.17,
B.J. Goodson,NYG,LB,23,1,47,2,29,4,12,11,0.731,3,4,33.25,10.00,30,4.69,34.5,118,7.05,4.51
Joe Haeg,IND,T,23,3,45,0,12,5,13,2,0.646,2,1,33.50,9.75,,5.16,27.5,111,7.47,4.47
Brian Poole,ATL,CB,23,1,49,1,36,8,31,3,0.541,1,3,,,,4.5,29,112,7.14,4.43
Nick Vigil,CIN,LB,22,2,40,1,19,3,8,0,0.778,3,0,32.38,10.25,15,4.72,31.5,115,6.73,4
Nick Kwiatkoski,CHI,LB,22,1,48,2,16,4,13,17,0.729,2,5,31.75,9.50,19,4.73,32,120,7.16,4.22
Brandon Shell,NYJ,T,22,1,51,2,21,5,14,3,0.644,2,5,34.75,10.75,22,5.22,30.5,112,7.62,4.62
Jalen Mills,PHI,S,22,1,46,1,7,7,17,7,0.604,2,2,31.13,9.13,16,4.61,37,123,6.86,4
Kendall Fuller,WSH,CB,21,1,29,0,8,3,12,4,0.781,2,0,31.50,10.00,15,,,,,
Ted Karras,NE,G,21,1,44,2,17,6,11,8,0.610,1,0,32.50,9.50,,5.34,26.5,106,8.15,4.7
Karl Joseph,OAK,S,20,1,42,1,1,1,0,4,2.971,2,13,32.13,9.75,19,,,,,
Darron Lee,NYJ,LB,20,1,29,0,2,1,1,1,2.555,2,5,33.25,9.75,17,4.47,35.5,133,7.12,4.2
A'Shawn Robinson,DET,DT,20,1,42,0,2,2,6,5,1.308,2,1,34.50,10.50,22,5.2,26,106,7.8,4.74
Carl Nassib,CLE,DE,20,1,32,0,11,3,8,2,0.900,1,13,34.50,10.38,21,4.84,28.5,114,7.27,4.37
Connor McGovern,DEN,G,20,1,49,2,4,5,6,1,0.651,4,0,32.88,10.38,33,5.11,33,109,7.5,4.65
Wil Lutz,BAL,K,20,2,36,0,5,8,1,3,0.540,1,1,,,,,,,,
Patrick Onwuasor,BAL,LB,20,3,34,1,43,8,34,7,0.540,2,1,32.38,10.25,24,4.62,36.5,123,7.51,4.6
Michael Pierce,BAL,DT,20,3,49,2,28,8,23,2,0.543,2,1,31.63,9.63,28,5.01,27,115,,
Jalen Richard,OAK,RB,20,2,40,1,36,8,20,3,0.540,4,13,29.13,8.88,13,4.6,35.5,114,7.36,4.95
Vernon Hargreaves III,TB,CB,19,1,37,0,2,1,2,3,3.544,1,10,30.63,8.75,15,4.5,39,130,,3.98
Keanu Neal,ATL,S,19,1,34,0,3,1,1,0,2.684,2,3,32.75,10.63,17,4.62,38,132,7.09,4.38
Hunter Henry,SD,TE,19,1,38,0,1,2,0,6,1.595,2,2,32.75,9.25,13,4.68,31.5,113,7.16,4.41
Sean Davis,PIT,S,19,1,50,1,8,2,3,8,1.022,1,0,31.38,9.50,21,4.46,37.5,126,6.64,3.97
Daryl Worley,CAR,CB,19,1,34,0,21,3,11,1,0.809,2,0,33.38,10.25,14,4.64,35.5,123,6.98,4.15
Matthew Ioannidis,WSH,DT,19,2,43,1,20,5,20,1,0.646,4,0,32.38,10.13,32,5.03,28,108,7.78,4.71
Halapoulivaati Vaitai,PHI,T,19,1,42,1,17,5,15,4,0.641,2,2,34.25,10.00,23,5.26,29,113,8.26,5
Anthony Brown,DAL,CB,19,1,45,1,30,6,24,7,0.619,2,1,31.75,8.25,19,4.35,35,115,7.03,4.19
Eli Apple,NYG,CB,18,1,27,0,4,1,1,2,3.788,2,4,31.38,9.38,13,4.4,,,7,4.08
Sheldon Rankins,NO,DT,18,1,45,1,1,1,0,1,3.200,3,2,33.38,9.38,28,5.03,34.5,118,7.44,4.59
Shaq Lawson,BUF,DE,18,1,41,0,3,1,2,10,2.570,2,16,32.75,10.00,,4.7,33,120,7.16,4.21
Reggie Ragland,BUF,LB,18,1,53,1,3,2,4,4,1.460,4,16,32.00,9.88,,4.72,31.5,116,,4.28
Isaac Seumalo,PHI,G,18,1,37,1,5,3,3,2,0.800,2,2,33.00,9.88,,5.19,26,105,7.4,4.52
George Fant,SEA,T,18,2,12,0,31,8,20,4,0.547,2,0,34.88,9.75,22,4.84,37,119,7.2,4.54
William Jackson III,CIN,CB,17,2,39,0,3,1,3,3,2.426,4,0,31.75,9.25,10,4.37,,116,6.86,4.32
Adam Gotsis,DEN,DT,17,1,42,1,18,2,8,1,0.984,4,0,34.13,10.75,,,,,,
Tyler Higbee,LAR,TE,17,2,37,2,5,4,3,0,0.730,2,11,33.25,10.25,18,,,,,
Jonathan Jones,NE,CB,17,1,46,1,20,8,31,4,0.543,2,0,30.25,8.75,10,4.33,36,123,7.25,4.25
Romeo Okwara,NYG,DE,17,1,52,1,19,8,19,3,0.545,2,4,34.13,10.13,23,4.9,33,120,7.38,4.53
Kyler Fackrell,GB,LB,16,2,41,2,11,3,9,6,0.784,4,0,33.25,10.13,15,4.72,34.5,121,,
Andrew Billings,CIN,DT,16,1,36,0,4,4,17,4,0.719,4,0,33.00,10.00,31,5.05,27.5,113,8.05,4.82
Devontae Booker,DEN,RB,16,1,34,4,4,4,6,5,0.681,2,0,31.63,8.63,22,,,,,
Quinton Jefferson,SEA,DT,16,1,38,1,15,5,19,4,0.648,4,0,33.38,8.88,24,4.95,29,,7.95,4.37
Trevon Coley,BAL,DT,16,2,48,1,26,8,23,2,0.540,3,1,,,22,4.98,29.5,105,7.02,4.57
Antwaun Woods,TEN,DT,16,1,51,2,23,8,23,4,0.540,4,7,31.00,9.63,,,,,,
Artie Burns,PIT,CB,15,1,39,0,6,1,4,8,2.398,2,0,33.25,9.50,7,4.46,31.5,124,6.96,4.33
Alex Lewis,BAL,T,15,1,50,1,10,4,10,4,0.708,1,1,34.00,10.00,27,5.22,29.5,100,7.94,4.72
Alex Collins,SEA,RB,15,1,38,0,7,5,12,3,0.631,4,0,30.25,9.25,18,4.59,28.5,113,,
Jatavis Brown,SD,LB,15,2,47,1,11,5,19,7,0.631,2,2,31.00,9.00,,4.44,35.5,125,7.19,4.31
Jarrod Wilson,JAX,S,15,1,49,1,24,8,20,0,0.542,4,8,32.25,10.00,17,4.55,36,118,7,4.43
Spencer Pulley,SD,C,15,1,50,2,19,8,7,0,0.541,3,2,31.13,10.00,28,5.1,28.5,112,7.39,4.48
Eric Murray,KC,CB,14,1,51,1,11,4,15,4,0.742,4,0,31.50,9.00,15,4.49,39.5,124,7.08,4.05
Demarcus Robinson,KC,WR,14,1,32,0,22,4,13,4,0.714,4,0,33.00,9.50,9,4.59,34.5,123,6.77,4.19
Kamu GrugierHill,NE,LB,14,3,36,0,43,6,24,6,0.610,4,0,30.50,9.25,,4.45,38.5,129,6.89,4.2
Peyton Barber,TB,RB,14,1,19,0,15,8,20,1,0.540,4,10,30.25,9.38,20,4.64,32.5,111,7.3,4.21
Darian Thompson,NYG,S,13,2,51,2,4,3,6,0,0.864,2,4,30.38,9.13,12,4.69,32.5,118,7.26,4.33
Juston Burris,NYJ,CB,13,1,51,2,29,4,17,3,0.723,2,5,31.50,8.88,19,4.53,36.5,122,7.1,4.4
Antonio Morrison,IND,LB,13,1,47,1,14,4,15,1,0.715,2,1,30.38,9.00,23,5.1,30,111,7.69,4.6
Evan Boehm,ARZ,C,13,1,52,1,4,4,4,3,0.712,2,0,31.63,10.25,24,5.33,28.5,96,7.52,4.69
DeAndre Washington,OAK,RB,13,1,49,2,24,5,7,3,0.652,2,13,30.00,9.00,24,4.49,34.5,118,7.03,4.2
Jakeem Grant,MIA,WR,13,1,50,2,27,6,20,3,0.620,4,7,29.75,8.63,,4.37,36.5,117,7.03,4.03
Chester Rogers,IND,WR,13,3,35,0,65,8,31,4,0.540,2,1,,,,,,,,
Mike Hilton,JAX,CB,13,1,49,1,40,8,31,1,0.540,4,8,29.75,8.63,13,4.55,33.5,117,6.86,4.19
Andrew Adams,NYG,S,13,2,44,2,24,8,20,0,0.540,2,4,31.75,9.25,24,4.54,33,118,6.96,4.32
Austin Johnson,TEN,DT,12,1,35,0,11,2,5,4,1.416,4,7,32.75,9.88,25,5.32,26,99,7.84,4.75
Le'Raven Clark,IND,T,12,1,51,2,7,3,7,2,0.786,2,1,36.13,11.88,18,5.16,30,109,,
Caleb Benenoch,TB,T,12,1,37,0,15,5,12,0,0.648,2,10,34.13,10.00,,4.98,28,104,8.15,5.11
Joe Dahl,DET,G,12,1,33,0,6,5,7,0,0.646,4,1,33.13,9.13,28,5.18,31,109,7.64,4.77
LeShaun Sims,TEN,CB,12,3,37,0,31,5,21,5,0.645,2,7,31.63,8.13,11,4.53,37,120,7.08,4.19
Alex Redmond,CIN,G,12,1,32,0,16,8,14,0,0.540,4,0,33.25,9.63,30,5.3,28,111,7.75,4.9
Ka'imi Fairbairn,HOU,K,12,1,53,1,2,8,1,0,0.542,3,0,31.25,9.25,,,,,,
Brennan Scarlett,HOU,LB,12,1,32,2,43,8,34,0,0.542,4,0,33.75,9.00,25,4.76,31.5,115,7.28,4.64
Rashod Hill,JAX,T,12,2,44,1,31,8,20,3,0.540,4,8,35.38,10.50,21,5.3,26,105,8,4.75
Jihad Ward,OAK,DE,11,1,32,4,8,2,7,3,1.385,1,13,33.88,9.38,20,5.11,25,111,7.38,4.63
Mackensie Alexander,MIN,CB,11,1,27,0,5,2,6,2,1.079,4,0,31.38,9.13,11,4.47,37.5,121,7.18,4.21
Tavon Young,BAL,CB,11,2,47,1,23,4,14,1,0.736,2,1,30.63,9.13,9,4.46,34.5,118,6.8,3.93
Tajae Sharpe,TEN,WR,11,2,47,1,13,5,14,3,0.654,1,7,32.25,8.38,11,4.55,33.5,114,,
Rashard Higgins,CLE,WR,11,2,38,0,11,5,18,2,0.631,3,13,32.25,9.75,13,4.64,32,116,,
James Burgess,MIA,LB,11,1,49,1,39,8,34,8,0.540,4,7,30.38,10.38,21,4.72,32.5,121,6.99,4.72
Trevor Williams,SD,CB,11,1,45,1,40,8,31,1,0.540,2,2,31.13,8.50,16,4.44,35.5,125,6.8,4.22
J.D. McKissic,ATL,WR,11,2,51,2,65,8,31,4,0.540,4,3,29.00,9.63,17,4.57,37,122,7,4.44
Luke Rhodes,TB,LB,11,3,47,1,42,8,34,8,0.540,2,10,29.88,10.13,29,4.73,35,118,7.13,4.32
Kamalei Correa,BAL,DE,10,2,40,0,9,2,6,1,1.437,2,1,31.63,9.38,21,4.69,33,108,,
Wendell Smallwood,PHI,RB,10,1,38,0,20,5,10,4,0.646,2,2,30.50,9.25,14,4.47,33.5,120,6.83,4.28
Riley Dixon,DEN,P,10,1,39,2,5,7,1,2,0.605,1,0,32.25,9.63,,,,,,
Lac Edwards,NYJ,P,10,3,42,0,4,7,2,0,0.604,1,5,32.38,9.38,,,,,,
